Strike_Type,Camera_Angle,Video_Name,Frame_ID,R_Elbow_Angle,L_Elbow_Angle,R_Shoulder_Angle,L_Shoulder_Angle,R_Wrist_Angle,L_Wrist_Angle,R_Hip_Angle,L_Hip_Angle,R_Knee_Angle,L_Knee_Angle,Torso_Lean,Head_Dir_X,Head_Dir_Y,Dist_Wrists,Dist_R_Wrist_Shoulder,Dist_L_Wrist_Shoulder
strike_1,front,Strike_1.0,24.jpg,153.43,65.38,48.81,36.49,,,173.7,167.04,176.78,178.9,179.06,0.0,5.7,159.82,90.19,65.04
strike_1,front,Strike_1.0,25.jpg,148.28,62.65,52.63,37.38,,,173.7,171.34,176.48,176.44,-180.0,-0.0,2.87,160.65,92.45,59.86
strike_1,front,Strike_1.0,26.jpg,132.66,53.13,56.07,42.58,,,173.57,166.86,176.78,178.9,179.03,0.0,2.89,167.56,93.29,49.34
strike_1,front,Strike_1.0,27.jpg,132.66,53.13,55.94,42.4,,,173.58,166.71,176.89,179.23,179.06,0.0,2.89,167.74,93.39,49.39
strike_1,front,Strike_1.0,28.jpg,126.18,46.79,55.94,42.4,,,173.58,166.71,176.89,179.23,179.06,0.0,2.9,174.17,97.27,44.19
strike_1,front,Strike_1.0,29.jpg,128.48,42.27,62.98,44.42,,,170.86,170.99,179.48,176.66,180.0,-2.94,2.94,188.26,107.15,37.14
strike_1,front,Strike_1.0,30.jpg,130.24,41.27,69.55,44.42,,,168.69,168.42,176.66,179.23,-179.01,-2.96,5.93,189.97,101.42,36.04
strike_1,front,Strike_1.0,31.jpg,123.69,40.43,69.34,41.25,,,168.65,166.52,179.73,179.23,-180.0,-2.96,5.93,184.13,100.94,34.56
strike_1,front,Strike_1.0,32.jpg,113.63,35.39,69.34,44.37,,,168.65,166.16,179.43,179.16,180.0,-2.99,2.99,179.84,95.7,25.38
strike_1,front,Strike_1.0,33.jpg,113.63,43.21,69.34,44.37,,,171.37,166.16,173.75,179.16,180.0,-3.0,3.0,180.71,95.9,29.97
strike_1,front,Strike_1.0,34.jpg,110.62,26.57,75.92,48.81,,,171.49,170.75,173.14,176.91,-179.03,-2.98,2.98,192.35,102.96,16.87
strike_1,front,Strike_1.0,35.jpg,108.8,34.7,74.1,42.58,,,171.37,166.16,173.75,179.6,180.0,-3.0,3.0,200.03,97.56,17.98
strike_1,front,Strike_1.0,36.jpg,110.62,26.57,73.96,42.58,,,173.33,166.16,173.75,179.6,179.03,-6.0,3.0,206.07,103.51,18.96
strike_1,front,Strike_1.0,37.jpg,102.02,12.09,75.92,42.35,,,171.49,168.18,173.63,179.6,-179.05,-2.99,2.99,211.64,98.72,25.4
strike_1,front,Strike_1.0,38.jpg,105.07,36.87,74.1,40.68,,,168.9,168.06,178.85,179.6,-179.03,-3.0,3.0,212.14,98.96,21.63
strike_1,front,Strike_1.0,39.jpg,101.89,45.0,74.1,48.69,,,168.65,170.87,179.43,174.13,-179.05,-2.99,2.99,211.31,100.19,21.55
strike_1,front,Strike_1.0,40.jpg,99.16,26.57,72.14,32.09,,,173.45,166.34,173.63,176.82,179.05,-5.99,5.99,206.91,102.41,16.95
strike_1,front,Strike_1.0,41.jpg,114.34,48.37,83.38,25.49,,,171.49,168.54,173.63,176.46,-179.05,-2.99,5.98,206.35,96.56,25.36
strike_1,front,Strike_1.0,42.jpg,114.34,48.37,83.38,25.49,,,171.49,168.54,173.63,176.46,-179.05,-2.99,5.98,206.38,96.57,25.36
strike_1,front,Strike_1.0,43.jpg,105.46,47.73,89.57,35.6,,,171.49,170.33,176.59,176.46,-178.06,-2.95,0.0,186.58,93.43,18.69
strike_1,front,Strike_1.0,44.jpg,107.62,47.73,89.57,33.69,,,168.9,172.23,179.19,179.23,-177.09,-5.96,2.98,181.12,90.9,18.83
strike_1,front,Strike_1.0,45.jpg,107.62,47.73,89.57,33.69,,,168.9,172.23,179.19,179.23,-177.09,-5.96,2.98,181.25,90.97,18.85
strike_1,front,Strike_1.0,46.jpg,108.43,71.56,95.91,45.0,,,168.9,172.23,179.19,179.23,-177.09,-5.96,0.0,181.38,89.46,26.67
strike_1,front,Strike_1.0,47.jpg,101.31,59.04,96.12,46.98,,,171.28,167.72,176.26,178.67,-177.99,-3.04,0.0,168.31,86.06,21.94
strike_1,front,Strike_1.0,48.jpg,85.36,171.87,80.17,108.43,,,171.16,172.23,176.02,178.3,-176.88,-3.16,0.0,174.88,76.14,34.05
strike_1,front,Strike_1.0,49.jpg,88.07,71.57,87.11,28.69,,,172.9,167.09,176.52,178.19,-178.94,-0.0,0.0,168.06,85.09,18.98
strike_1,front,Strike_1.0,50.jpg,82.87,161.56,87.11,118.77,,,173.04,167.49,176.02,179.16,-178.92,-0.0,3.18,163.38,76.52,31.77
strike_1,front,Strike_1.0,51.jpg,82.88,161.57,87.11,118.77,,,173.04,167.49,176.02,179.16,-178.92,0.0,3.18,163.34,76.5,31.77
strike_1,front,Strike_1.0,52.jpg,86.25,135.0,86.88,92.12,,,170.8,169.75,176.52,179.16,-177.88,-3.19,3.19,163.93,72.7,28.51
strike_1,front,Strike_1.0,53.jpg,79.77,75.96,78.14,46.97,,,173.31,167.72,176.59,178.23,-178.99,-0.0,3.05,160.39,68.98,35.55
strike_1,front,Strike_1.0,54.jpg,79.25,81.87,78.14,46.97,,,173.31,167.72,176.59,178.99,-178.99,-3.04,3.04,162.34,73.26,32.76
strike_1,front,Strike_1.0,55.jpg,79.77,75.96,78.14,46.97,,,173.31,167.72,176.59,178.99,-178.99,-3.05,3.05,160.44,69.0,35.56
strike_1,front,Strike_1.0,56.jpg,79.25,82.88,78.0,58.28,,,173.33,167.72,176.72,178.23,-179.01,-3.03,6.06,161.78,73.01,32.65
strike_1,front,Strike_1.0,57.jpg,75.96,81.87,80.05,46.98,,,173.31,167.72,176.59,178.99,-178.99,-3.05,3.05,161.55,69.03,32.86
strike_1,front,Strike_1.0,58.jpg,79.77,82.87,78.0,58.28,,,173.33,167.72,176.72,178.23,-179.01,-3.03,6.06,160.52,68.59,32.65
strike_1,front,Strike_1.0,59.jpg,75.96,82.87,79.91,58.28,,,173.33,167.72,176.72,178.23,-179.01,-3.03,6.06,160.36,68.52,32.62
strike_1,front,Strike_1.0,60.jpg,75.96,82.87,79.91,58.28,,,173.33,167.72,176.72,178.23,-179.01,-3.02,6.05,160.17,68.44,32.58
strike_1,front,Strike_1.0,61.jpg,74.05,81.87,79.96,46.97,,,171.37,167.72,176.72,178.23,-178.03,-3.02,0.0,160.01,64.25,32.55
strike_1,front,Strike_1.0,62.jpg,75.96,70.56,81.87,35.6,,,171.37,167.79,176.72,178.23,-178.06,-3.02,0.0,166.06,68.42,30.84
strike_1,front,Strike_1.0,63.jpg,79.77,70.56,79.96,35.6,,,171.37,167.79,176.72,178.99,-178.06,-3.02,0.0,165.84,68.33,30.8
strike_1,front,Strike_1.0,64.jpg,69.44,105.26,75.56,73.54,,,171.28,167.72,176.59,178.99,-177.99,0.0,6.07,166.72,68.69,32.7
strike_1,front,Strike_1.0,65.jpg,74.05,108.44,80.39,65.56,,,170.8,167.09,176.52,178.19,-177.88,-3.19,3.19,164.01,67.81,26.3
strike_1,front,Strike_1.0,66.jpg,79.77,135.0,82.48,90.0,,,168.85,171.87,176.39,178.67,-175.84,-3.17,0.0,168.02,71.8,28.38
strike_1,front,Strike_1.0,67.jpg,75.96,108.43,84.09,71.57,,,166.43,169.22,177.74,177.75,-175.99,0.0,0.0,174.09,74.12,41.29
strike_1,front,Strike_1.0,68.jpg,71.57,116.56,77.47,71.56,,,171.49,169.7,176.26,178.23,-177.04,-6.02,0.0,177.07,72.46,38.06
strike_1,front,Strike_1.0,69.jpg,77.47,101.31,83.59,56.31,,,171.28,169.7,176.26,178.23,-176.99,-6.02,0.0,183.05,76.61,43.82
strike_1,front,Strike_1.0,70.jpg,74.74,129.09,80.46,75.96,,,171.69,172.23,176.59,179.23,-177.14,-2.94,2.94,201.34,76.68,48.5
strike_1,front,Strike_1.0,71.jpg,74.74,129.09,82.6,77.81,,,169.66,170.39,176.48,179.64,-177.14,-5.78,2.89,210.14,82.17,47.68
strike_1,front,Strike_1.0,72.jpg,74.74,109.44,82.6,58.16,,,169.66,170.39,176.48,179.64,-177.14,-5.79,2.89,204.56,78.7,40.91
strike_1,front,Strike_1.0,73.jpg,78.5,153.43,81.43,90.0,,,169.38,174.81,176.48,177.06,-176.05,0.0,2.94,224.48,79.91,59.91
strike_1,front,Strike_1.0,74.jpg,74.74,149.04,84.87,90.0,,,167.39,174.81,176.48,177.06,-175.07,0.0,5.86,246.68,79.68,78.16
strike_1,front,Strike_1.0,75.jpg,71.57,158.2,81.69,91.91,,,167.39,172.9,176.48,177.06,-176.05,-5.87,5.87,253.32,84.6,71.36
strike_1,front,Strike_1.0,76.jpg,64.2,151.07,79.09,84.85,,,167.27,173.06,176.89,176.84,-175.99,-0.0,5.87,259.41,81.57,76.55
strike_1,front,Strike_1.0,77.jpg,70.35,136.51,78.48,79.38,,,169.27,172.9,176.89,177.06,-177.04,-2.92,5.85,270.09,91.56,82.1
strike_1,front,Strike_1.0,78.jpg,60.83,151.86,75.35,85.63,,,167.27,172.83,176.89,177.06,-175.99,-0.0,5.86,265.46,81.45,82.29
strike_1,front,Strike_1.0,79.jpg,64.51,131.63,67.6,72.14,,,169.54,171.09,174.07,179.53,-178.03,-2.92,5.84,270.82,81.31,82.56
strike_1,front,Strike_1.0,80.jpg,68.01,117.7,61.57,65.33,,,167.21,171.09,179.48,176.84,-178.06,-2.89,2.89,270.07,84.22,84.22
strike_1,front,Strike_1.0,81.jpg,68.01,117.7,61.57,65.33,,,167.21,171.09,179.48,176.84,-178.06,-2.89,2.89,270.13,84.24,84.24
strike_1,front,Strike_1.0,82.jpg,67.38,76.81,59.98,59.09,,,166.95,170.94,179.48,179.53,-177.99,-2.93,5.85,248.29,74.02,71.19
strike_1,front,Strike_1.0,83.jpg,52.13,45.0,42.78,46.97,,,169.12,175.54,178.63,173.96,-178.03,0.0,2.96,217.23,56.19,63.8
strike_1,front,Strike_1.0,84.jpg,25.56,3.95,14.98,35.67,,,166.95,175.42,176.22,174.07,-177.04,-0.0,3.01,165.79,38.58,38.58
strike_1,front,Strike_1.0,85.jpg,11.89,22.38,1.3,26.86,,,165.86,170.57,179.37,175.73,-177.88,3.21,3.21,101.46,28.7,39.03
strike_1,front,Strike_1.0,86.jpg,39.14,40.6,9.61,22.67,,,168.22,170.57,179.1,178.85,-178.94,0.0,3.19,49.76,31.85,54.06
strike_1,front,Strike_1.0,87.jpg,39.14,40.6,9.61,22.67,,,168.22,170.57,179.1,178.85,-178.94,0.0,3.19,49.77,31.86,54.08
strike_1,front,Strike_1.0,88.jpg,81.87,58.24,30.29,9.43,,,167.98,170.32,179.1,179.43,-178.92,-3.19,6.37,31.86,44.6,68.92
strike_1,front,Strike_1.0,89.jpg,96.34,52.94,43.21,19.34,,,163.74,170.47,177.88,176.47,-177.95,3.14,3.14,50.58,63.06,62.11
strike_1,front,Strike_1.0,90.jpg,110.38,55.73,50.91,14.39,,,163.74,170.47,177.88,176.47,-177.95,6.27,3.13,50.54,63.0,62.06
strike_1,front,Strike_1.0,91.jpg,108.43,46.74,36.87,20.94,,,163.74,170.32,178.21,179.43,-177.92,-3.15,0.0,38.33,63.32,49.21
strike_1,front,Strike_1.0,92.jpg,78.11,44.24,13.37,26.04,,,163.44,170.32,178.21,179.43,-177.88,3.16,6.33,36.91,51.03,49.44
strike_1,front,Strike_1.0,93.jpg,82.88,44.24,20.22,26.04,,,168.22,170.57,175.98,178.85,-178.94,3.17,6.34,40.09,50.71,49.51
strike_1,front,Strike_1.0,94.jpg,95.19,52.74,38.42,20.94,,,167.71,170.32,176.25,179.1,-178.92,3.23,3.23,52.11,59.59,55.6
strike_1,front,Strike_1.0,95.jpg,93.18,44.24,30.53,26.04,,,168.22,170.57,175.98,178.85,-178.94,3.2,3.2,38.9,57.56,49.95
strike_1,front,Strike_1.0,96.jpg,93.18,44.24,30.53,26.04,,,168.22,170.57,176.47,178.85,-178.94,3.19,6.38,38.81,57.43,49.84
strike_1,front,Strike_1.0,97.jpg,101.31,41.63,38.66,26.04,,,168.22,170.57,176.47,178.85,-178.94,3.15,0.0,45.88,57.06,45.44
strike_1,front,Strike_1.0,98.jpg,104.04,41.63,38.66,26.04,,,168.22,170.57,175.98,178.85,-178.94,3.17,6.34,42.53,50.72,45.72
strike_1,front,Strike_1.0,99.jpg,104.04,41.63,38.66,26.04,,,168.22,170.57,175.98,178.85,-178.94,3.17,6.34,42.51,50.69,45.7
strike_1,front,Strike_1.0,100.jpg,108.43,43.45,38.88,22.03,,,168.44,175.35,176.47,176.26,-177.95,3.14,0.0,45.66,56.45,50.56
strike_1,front,Strike_1.0,101.jpg,112.17,39.47,45.0,28.69,,,163.74,175.28,179.16,173.63,-176.88,3.12,0.0,45.48,56.22,45.05
strike_1,front,Strike_1.0,102.jpg,104.47,46.05,45.0,22.03,,,163.74,172.76,179.16,179.19,-176.93,3.1,3.1,50.0,56.15,53.34
strike_1,front,Strike_1.0,103.jpg,108.44,44.24,38.88,23.92,,,168.44,175.28,176.47,173.63,-177.92,3.12,3.12,44.14,56.18,48.75
strike_1,front,Strike_1.0,104.jpg,93.95,41.63,27.57,23.92,,,168.17,175.28,176.74,173.14,-177.92,3.13,0.0,45.6,56.72,45.17
strike_1,front,Strike_1.0,105.jpg,90.0,41.63,27.57,23.92,,,168.17,175.28,176.74,173.14,-177.92,3.13,0.0,47.73,50.52,45.19
strike_1,front,Strike_1.0,106.jpg,90.0,44.24,27.57,23.92,,,168.17,175.28,176.74,173.63,-177.92,3.12,3.12,45.48,50.36,48.79
strike_1,front,Strike_1.0,107.jpg,88.21,44.24,30.53,23.92,,,168.22,175.28,176.47,173.14,-177.88,3.16,6.33,40.02,50.62,49.42
strike_1,front,Strike_1.0,108.jpg,88.21,44.24,30.53,23.92,,,168.22,175.28,176.47,173.14,-177.88,3.17,6.33,40.04,50.65,49.45
strike_1,front,Strike_1.0,109.jpg,88.21,44.24,28.44,23.92,,,163.44,175.28,179.16,173.14,-176.82,3.18,6.36,40.23,50.89,49.68
strike_1,front,Strike_1.0,110.jpg,104.04,44.24,36.87,23.85,,,163.74,175.23,178.67,173.26,-176.93,3.15,0.0,39.86,50.42,49.22
strike_1,front,Strike_1.0,111.jpg,104.04,41.63,38.88,23.92,,,165.35,175.28,179.56,173.14,-177.92,3.17,6.34,40.07,50.69,45.69
strike_1,front,Strike_1.0,112.jpg,88.21,41.63,28.44,23.92,,,163.44,175.28,179.16,173.14,-176.82,3.18,3.18,42.72,50.95,45.93
strike_1,front,Strike_1.0,113.jpg,104.04,41.63,36.87,23.92,,,163.34,175.28,179.07,173.14,-176.88,3.17,6.34,42.52,50.7,45.7
strike_1,front,Strike_1.0,114.jpg,104.47,41.63,45.0,23.85,,,163.34,172.51,179.56,179.1,-176.93,3.17,6.34,46.17,57.43,45.73
strike_1,front,Strike_1.0,115.jpg,104.04,41.63,36.87,23.92,,,163.34,172.68,179.56,178.85,-176.88,3.16,6.32,42.4,50.56,45.57
strike_1,front,Strike_1.0,116.jpg,82.88,46.74,18.44,20.94,,,163.34,170.57,179.07,178.85,-177.92,3.15,0.0,42.24,50.37,49.18
strike_1,front,Strike_1.0,117.jpg,97.12,46.74,25.56,20.94,,,163.34,170.57,179.56,178.85,-177.92,3.15,0.0,42.24,50.38,49.18
strike_1,front,Strike_1.0,118.jpg,92.73,39.14,27.57,23.92,,,168.17,175.28,176.74,173.14,-177.92,-3.13,3.13,36.5,43.82,44.26
strike_1,front,Strike_1.0,119.jpg,92.73,39.14,27.57,23.92,,,168.17,175.28,176.25,173.14,-177.92,3.14,3.14,36.57,43.91,44.35
strike_1,front,Strike_1.0,120.jpg,97.13,47.6,27.57,26.08,,,168.17,175.28,176.25,173.14,-177.92,3.14,3.14,39.73,50.25,49.06
strike_1,front,Strike_1.0,121.jpg,97.13,42.08,27.35,26.08,,,168.22,175.28,175.98,173.14,-177.88,3.14,3.14,33.82,50.25,44.41
strike_1,front,Strike_1.1,0.jpg,138.85,43.26,17.62,25.56,,,159.85,175.36,171.72,176.78,179.09,0.0,4.53,81.75,104.7,51.31
strike_1,front,Strike_1.1,1.jpg,136.68,43.26,16.84,25.56,,,159.22,175.48,170.75,177.41,179.09,0.0,4.53,81.58,104.47,51.2
strike_1,front,Strike_1.1,2.jpg,131.82,43.26,18.66,25.56,,,156.7,178.07,170.39,177.41,180.0,-2.24,4.48,80.71,103.84,50.65
strike_1,front,Strike_1.1,3.jpg,145.84,49.6,13.12,21.26,,,161.67,176.03,170.77,179.75,178.15,-2.26,6.77,81.4,104.24,55.12
strike_1,front,Strike_1.1,4.jpg,145.3,46.77,13.84,22.06,,,161.49,178.07,174.32,179.75,179.08,0.0,9.02,81.3,99.63,54.31
strike_1,front,Strike_1.1,5.jpg,139.86,45.75,13.84,25.11,,,163.51,173.44,176.34,179.88,178.12,0.0,4.57,79.88,101.39,52.06
strike_1,front,Strike_1.1,6.jpg,132.37,40.09,18.0,27.25,,,165.96,175.13,179.46,180.0,179.03,0.0,7.09,81.28,99.65,46.77
strike_1,front,Strike_1.1,7.jpg,135.9,43.8,17.81,23.3,,,166.16,175.37,178.99,179.88,179.06,0.0,4.55,82.01,100.5,48.36
strike_1,front,Strike_1.1,8.jpg,132.37,36.66,15.91,29.12,,,170.48,170.54,177.66,180.0,177.14,4.64,6.95,83.58,97.8,42.75
strike_1,front,Strike_1.1,9.jpg,132.6,36.66,13.31,29.12,,,168.85,170.54,174.56,177.4,178.09,-2.3,2.3,83.09,97.78,42.49
strike_1,front,Strike_1.1,10.jpg,132.6,37.88,13.31,27.6,,,171.43,170.84,179.5,177.4,178.12,-2.3,2.3,82.93,97.59,45.54
strike_1,front,Strike_1.1,11.jpg,128.88,34.7,17.02,26.03,,,171.43,172.41,179.68,177.61,179.05,-2.28,6.83,82.14,96.11,42.01
strike_1,front,Strike_1.1,12.jpg,123.45,37.18,21.66,23.54,,,174.29,172.41,176.82,177.61,179.05,0.0,4.47,84.41,94.37,42.2
strike_1,front,Strike_1.1,13.jpg,123.45,34.77,21.66,23.54,,,174.29,172.41,176.82,177.51,179.05,0.0,6.71,86.9,94.41,38.5
strike_1,front,Strike_1.1,14.jpg,123.69,38.74,18.9,25.36,,,172.41,174.29,176.82,175.24,-179.05,-4.47,4.47,78.23,94.87,44.72
strike_1,front,Strike_1.1,15.jpg,123.69,40.09,18.9,25.36,,,172.41,171.28,180.0,178.25,-179.05,-4.55,6.83,75.8,96.61,45.09
strike_1,front,Strike_1.1,16.jpg,123.69,40.09,18.9,25.36,,,172.41,171.43,180.0,178.1,-179.05,-2.27,6.82,75.68,96.46,45.02
strike_1,front,Strike_1.1,17.jpg,128.09,45.75,18.9,21.66,,,172.41,171.56,180.0,179.76,-179.05,-4.52,4.52,76.85,100.37,51.54
strike_1,front,Strike_1.1,18.jpg,131.04,50.28,19.95,23.01,,,172.15,168.38,180.0,176.78,-179.01,0.0,4.59,74.06,101.98,51.96
strike_1,front,Strike_1.1,19.jpg,131.04,54.39,19.95,20.85,,,172.15,166.44,180.0,176.78,180.0,0.0,4.6,74.13,102.07,55.36
strike_1,front,Strike_1.1,20.jpg,142.82,56.87,15.98,18.0,,,172.15,168.65,180.0,174.56,-179.01,-0.0,4.52,70.7,104.76,60.77
strike_1,front,Strike_1.1,21.jpg,142.82,60.8,15.98,19.95,,,172.15,164.02,180.0,171.87,180.0,-4.51,4.51,66.61,104.63,63.8
strike_1,front,Strike_1.1,22.jpg,148.44,60.8,13.31,19.95,,,177.02,164.02,177.27,171.87,179.03,-4.49,4.49,68.57,108.19,63.53
strike_1,front,Strike_1.1,23.jpg,148.44,64.91,15.19,18.0,,,172.41,166.33,180.0,172.23,-179.03,-0.0,4.43,67.68,106.78,65.91
strike_1,front,Strike_1.1,24.jpg,143.35,64.91,15.19,18.0,,,172.41,166.33,180.0,172.23,-179.03,-4.46,6.68,65.8,107.79,66.25
strike_1,front,Strike_1.1,25.jpg,143.35,61.59,15.19,17.22,,,172.41,166.33,180.0,172.23,-179.03,-4.46,6.69,65.84,107.85,66.29
strike_1,front,Strike_1.1,26.jpg,145.3,64.91,15.98,18.21,,,172.15,166.12,180.0,172.23,-178.99,-2.25,4.5,66.5,108.94,66.96
strike_1,front,Strike_1.1,27.jpg,142.82,64.91,15.98,18.21,,,174.87,166.12,177.27,172.23,-178.99,0.0,4.51,62.7,104.68,67.09
strike_1,front,Strike_1.1,28.jpg,142.82,61.96,15.98,22.06,,,174.87,166.12,177.27,172.23,-178.99,0.0,4.51,62.72,104.71,67.11
strike_1,front,Strike_1.1,29.jpg,142.82,64.91,15.98,18.0,,,174.87,165.96,177.27,171.87,-179.01,-0.0,2.26,62.87,104.98,67.28
strike_1,front,Strike_1.1,30.jpg,142.82,64.91,15.98,18.0,,,174.87,165.96,177.27,171.87,-179.01,0.0,2.27,63.0,105.19,67.42
strike_1,front,Strike_1.1,31.jpg,145.3,64.91,15.98,18.0,,,174.87,165.96,177.27,171.87,-179.01,0.0,2.27,66.93,109.64,67.39
strike_1,front,Strike_1.1,32.jpg,143.35,64.91,15.19,18.0,,,175.27,165.96,174.12,171.87,-179.03,0.0,4.53,66.92,109.62,67.38
strike_1,front,Strike_1.1,33.jpg,143.35,64.91,15.19,18.0,,,175.27,165.96,177.14,171.87,-179.03,0.0,4.54,66.96,109.69,67.42
strike_1,front,Strike_1.1,34.jpg,140.4,64.91,15.19,18.0,,,175.27,165.96,177.14,171.87,-179.03,0.0,6.8,63.02,105.21,67.43
strike_1,front,Strike_1.1,35.jpg,143.35,64.91,15.19,18.0,,,175.27,165.96,177.14,171.87,-179.03,0.0,4.54,67.03,109.8,67.49
strike_1,front,Strike_1.1,36.jpg,143.35,64.91,15.19,18.0,,,175.27,165.96,177.14,171.87,-179.03,-0.0,4.56,67.29,110.23,67.75
strike_1,front,Strike_1.1,37.jpg,140.4,64.91,15.19,18.0,,,175.27,165.96,177.14,171.87,-179.03,0.0,2.27,63.03,105.23,67.45
strike_1,front,Strike_1.1,38.jpg,143.35,64.91,15.19,18.0,,,175.27,165.96,177.14,171.87,-179.03,0.0,4.57,67.45,110.49,67.91
strike_1,front,Strike_1.1,39.jpg,142.82,64.01,15.98,19.11,,,175.01,165.75,177.14,171.87,-178.99,-0.0,4.58,67.59,106.18,64.74
strike_1,front,Strike_1.1,40.jpg,142.82,64.91,15.98,18.0,,,175.01,165.96,177.14,171.87,-179.01,0.0,4.57,67.49,106.02,67.95
strike_1,front,Strike_1.1,41.jpg,142.82,64.91,15.98,18.0,,,175.01,165.96,177.14,171.87,-179.01,-0.0,4.56,67.37,105.84,67.83
strike_1,front,Strike_1.1,42.jpg,143.35,64.91,15.45,18.0,,,174.87,165.96,177.27,171.87,-179.01,-4.54,4.54,67.06,109.85,67.52
strike_1,front,Strike_1.1,43.jpg,143.35,64.91,15.45,18.0,,,174.87,165.96,177.27,171.87,-179.01,-2.27,4.54,67.05,109.84,67.51
strike_1,front,Strike_1.1,44.jpg,140.4,64.91,15.45,18.0,,,174.87,165.96,177.27,171.87,-179.01,-0.0,4.54,63.03,105.23,67.44
strike_1,front,Strike_1.1,45.jpg,140.4,64.91,15.45,18.0,,,174.87,165.96,177.27,171.87,-179.01,-0.0,6.81,63.05,105.27,67.47
strike_1,front,Strike_1.1,46.jpg,143.35,61.06,15.45,19.89,,,174.87,167.92,177.27,171.87,-178.03,-0.0,4.57,67.41,110.43,64.89
